created_at,user/id,user/id_str,user/name,user/screen_name,user/location,user/description,user/url,user/protected,user/followers_count,user/friends_count,user/listed_count,user/created_at,user/favourites_count,user/utc_offset,user/time_zone,user/geo_enabled,user/verified,user/statuses_count,user/lang,user/contributors_enabled,user/is_translator,user/is_translation_enabled,user/profile_background_color,user/profile_background_image_url,user/profile_background_image_url_https,user/profile_background_tile,user/profile_image_url,user/profile_image_url_https,user/profile_banner_url,user/profile_link_color,user/profile_sidebar_border_color,user/profile_sidebar_fill_color,user/profile_text_color,user/profile_use_background_image,user/has_extended_profile,user/default_profile,user/default_profile_image,user/following,user/follow_request_sent,user/notifications,user/translator_type,label,user/entities/url/urls/0/url,user/entities/url/urls/0/expanded_url,user/entities/url/urls/0/display_url,user/entities/url/urls/0/indices/0,user/entities/url/urls/0/indices/1,user/entities/description/urls/0/url,user/entities/description/urls/0/expanded_url,user/entities/description/urls/0/display_url,user/entities/description/urls/0/indices/0,user/entities/description/urls/0/indices/1,user/entities/description/urls/1/url,user/entities/description/urls/1/expanded_url,user/entities/description/urls/1/display_url,user/entities/description/urls/1/indices/0,user/entities/description/urls/1/indices/1,user/entities/description/urls/2/url,user/entities/description/urls/2/expanded_url,user/entities/description/urls/2/display_url,user/entities/description/urls/2/indices/0,user/entities/description/urls/2/indices/1,user/entities/description/urls/3/url,user/entities/description/urls/3/expanded_url,user/entities/description/urls/3/display_url,user/entities/description/urls/3/indices/0,user/entities/description/urls/3/indices/1,user/entities/description/urls/4/url,user/entities/description/urls/4/expanded_url,user/entities/description/urls/4/display_url,user/entities/description/urls/4/indices/0,user/entities/description/urls/4/indices/1
Sun Jan 20 03:36:01 +0000 2019,1318284638,1318284638,Syed Haider Naqvi,HNakvi,Islamabad,,,false,28533,1164,45,Sun Mar 31 12:21:09 +0000 2013,6006,,,true,false,7446,en,false,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,http://pbs.twimg.com/profile_images/1086531658017357824/l0RctRbL_normal.jpg,https://pbs.twimg.com/profile_images/1086531658017357824/l0RctRbL_normal.jpg,https://pbs.twimg.com/profile_banners/1318284638/1506171153,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Jan 21 21:36:00 +0000 2019,17442457,17442457,Cleveland Clinic MD,CleClinicMD,"Cleveland, Ohio, United States","News and insights for physicians and clinical professionals from @ClevelandClinic. Research, case studies and CME opportunities.",https://t.co/IxMra2OEey,false,299192,1721,1517,Mon Nov 17 14:46:49 +0000 2008,401,,,true,true,25344,en,false,false,false,0968AA,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,http://pbs.twimg.com/profile_images/925423954797498368/qmwbLcjq_normal.jpg,https://pbs.twimg.com/profile_images/925423954797498368/qmwbLcjq_normal.jpg,https://pbs.twimg.com/profile_banners/17442457/1534261347,1C6EC4,D6E9F6,D6E9F6,333333,true,false,false,false,false,false,false,none,bot,https://t.co/IxMra2OEey,http://consultqd.clevelandclinic.org/,consultqd.clevelandclinic.org,0,23,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Oct 11 13:40:17 +0000 2016,102069605,102069605,2NE1 TV,2NE1tv,Seoul,We tweet about 2NE1's video and photo. It’s 2NE1 TV.,,false,89051,743,307,Tue Jan 05 14:06:26 +0000 2010,154,,,false,false,47479,ko,false,false,false,EDECE9,http://abs.twimg.com/images/themes/theme3/bg.gif,https://abs.twimg.com/images/themes/theme3/bg.gif,false,http://pbs.twimg.com/profile_images/689829404487192577/TNyGP1F3_normal.jpg,https://pbs.twimg.com/profile_images/689829404487192577/TNyGP1F3_normal.jpg,https://pbs.twimg.com/profile_banners/102069605/1453303160,088253,D3D2CF,E3E2DE,634047,true,false,false,false,false,false,false,none,bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Jan 21 18:42:38 +0000 2019,1367759732,1367759732,Alastair de kretser,Alastairkretser,England,"Travel, tech and stuff 😀",,false,43211,237,29,Sat Apr 20 18:55:44 +0000 2013,358,,,false,false,16586,en,false,false,false,022330,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,true,http://pbs.twimg.com/profile_images/739133291857481728/u-YH7-z2_normal.jpg,https://pbs.twimg.com/profile_images/739133291857481728/u-YH7-z2_normal.jpg,https://pbs.twimg.com/profile_banners/1367759732/1515956222,ABB8C2,000000,DDEEF6,333333,true,true,false,false,false,false,false,none,bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Nov 13 04:09:04 +0000 2018,2927879268,2927879268,Gran Horóscopo,GranHoroscopo, México - Argentina,Tu mejor prediccion diaria ORIGINAL para todos los signos. PARA LEER TU HORÓSCOPO- https://t.co/0d6feBPxDf https://t.co/P92Cmqywwi,https://t.co/rDVUTyCn9E,false,113300,16422,112,Sat Dec 13 00:20:53 +0000 2014,37,,,true,false,70666,es,false,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,http://pbs.twimg.com/profile_images/562392881575370754/IB1xtDt1_normal.jpeg,https://pbs.twimg.com/profile_images/562392881575370754/IB1xtDt1_normal.jpeg,https://pbs.twimg.com/profile_banners/2927879268/1422063552,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,regular,bot,https://t.co/rDVUTyCn9E,http://reinaldodossantos.com,reinaldodossantos.com,0,23,https://t.co/0d6feBPxDf,http://Instagram.com/granhoroscopo,Instagram.com/granhoroscopo,83,106,https://t.co/P92Cmqywwi,http://facebook.com/granhoroscopo,facebook.com/granhoroscopo,107,130,,,,,,,,,,,,,,,
Mon Jan 21 14:18:12 +0000 2019,1274894250,1274894250,Raghu Vohra,BlackstoneVG,LA/Dubai/Bangalore,"Angel Investor-Fintech executive, Entrepreneur, ExecTeam @4startups in fintech,Dog lover,java junkie-data,ideas,metrics,deals!RTs ≠ endorsements!Views personal!",https://t.co/VH3KLbKKzb,false,14464,679,282,Sun Mar 17 12:55:54 +0000 2013,1604,,,false,false,23193,en,false,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,http://pbs.twimg.com/profile_images/559386746324930560/Ocon5rdM_normal.jpeg,https://pbs.twimg.com/profile_images/559386746324930560/Ocon5rdM_normal.jpeg,https://pbs.twimg.com/profile_banners/1274894250/1458031975,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,bot,https://t.co/VH3KLbKKzb,http://www.blackstonevalleygroup.com,blackstonevalleygroup.com,0,23,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 11 00:30:00 +0000 2018,1882281708,1882281708,Alex Hamm,Hammapreneur,Always on the move,Striving for greatness - Follow my journey on Snapchat: alexhamm | Add me on Instagram below,https://t.co/aiVHvobiXD,false,91282,78885,830,Thu Sep 19 07:48:50 +0000 2013,16586,,,true,false,26313,en,false,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,http://pbs.twimg.com/profile_images/521845133939978240/d9HKERu6_normal.jpeg,https://pbs.twimg.com/profile_images/521845133939978240/d9HKERu6_normal.jpeg,https://pbs.twimg.com/profile_banners/1882281708/1425622004,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,bot,https://t.co/aiVHvobiXD,https://www.instagram.com/hammapreneur/,instagram.com/hammapreneur/,0,23,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Apr 12 11:38:13 +0000 2017,2773297820,2773297820,khalid rafiq,khalidrafiq138,Pakistan,"all about #Pakistan #India

http://t.co/pPN1gDtlIb",http://t.co/pPN1gDtlIb,false,1020,0,107,Wed Aug 27 13:44:50 +0000 2014,0,,,false,false,2113176,en,false,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,http://pbs.twimg.com/profile_images/509724661857275906/LrmkOcHW_normal.jpeg,https://pbs.twimg.com/profile_images/509724661857275906/LrmkOcHW_normal.jpeg,,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,bot,http://t.co/pPN1gDtlIb,http://facebook.com/khalidrafiq76,facebook.com/khalidrafiq76,0,22,http://t.co/pPN1gDtlIb,http://facebook.com/khalidrafiq76,facebook.com/khalidrafiq76,30,52,,,,,,,,,,,,,,,,,,,,
Mon Jan 21 22:41:44 +0000 2019,39306847,39306847,Jean-Thomas Jobin,JeanThomasJobin,Montreal,"Je fais des boutades ça et là. Pis si vous vous abonnez à ma chaine Youtube ci-dessous, je vous en serai éternellement reconnaissant au moins une demi-heure!",https://t.co/JQQ9aTVeVN,false,145621,1700,762,Mon May 11 18:23:37 +0000 2009,10991,,,false,true,22008,fr,false,false,false,C0DEED,http://abs.twimg.com/images/themes/theme1/bg.png,https://abs.twimg.com/images/themes/theme1/bg.png,false,http://pbs.twimg.com/profile_images/991373330694508545/AO6Pjg-Z_normal.jpg,https://pbs.twimg.com/profile_images/991373330694508545/AO6Pjg-Z_normal.jpg,https://pbs.twimg.com/profile_banners/39306847/1460723941,1DA1F2,C0DEED,DDEEF6,333333,true,false,true,false,false,false,false,none,bot,https://t.co/JQQ9aTVeVN,https://www.youtube.com/user/JeanThomasJobin,youtube.com/user/JeanThoma…,0,23,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Aug 24 13:42:12 +0000 2016,235092653,235092653,Masuta,masutatrading,Indonesia,Sharing bisnis dan investasi terbaik yang dapat kita pilih. MobilePhone:+6283831111277 Email:masutatrading@gmail.com #SRUDUKFOLLOW,,false,903,0,28,Fri Jan 07 09:59:05 +0000 2011,3,,,true,false,262383,en,false,false,false,EBEBEB,http://abs.twimg.com/images/themes/theme7/bg.gif,https://abs.twimg.com/images/themes/theme7/bg.gif,false,http://pbs.twimg.com/profile_images/2783095665/3f35d2589daf870c5730eff35bc3bf58_normal.jpeg,https://pbs.twimg.com/profile_images/2783095665/3f35d2589daf870c5730eff35bc3bf58_normal.jpeg,https://pbs.twimg.com/profile_banners/235092653/1355890142,990000,000000,F3F3F3,333333,true,false,false,false,false,false,false,none,bot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
